y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
11,DC,District of Columbia,97,DC,DC Total Migration-US,35911,53104,3726830
11,DC,District of Columbia,98,DC,DC Total Migration-Foreign,356,692,45360
11,DC,District of Columbia,11,DC,DC Non-migrants,263182,444616,32524362
11,DC,District of Columbia,24,MD,Maryland,11450,19606,984782
11,DC,District of Columbia,51,VA,Virginia,6942,10061,833361
11,DC,District of Columbia,6,CA,California,2330,2993,250185
11,DC,District of Columbia,36,NY,New York,2183,2611,212229
11,DC,District of Columbia,12,FL,Florida,1215,1763,157259
11,DC,District of Columbia,42,PA,Pennsylvania,1117,1415,102402
11,DC,District of Columbia,37,NC,North Carolina,1018,1498,95831
11,DC,District of Columbia,48,TX,Texas,1000,1403,111817
11,DC,District of Columbia,25,MA,Massachusetts,929,1156,93632
11,DC,District of Columbia,17,IL,Illinois,715,927,75755
11,DC,District of Columbia,8,CO,Colorado,665,871,87853
11,DC,District of Columbia,13,GA,Georgia,590,820,61896
11,DC,District of Columbia,34,NJ,New Jersey,580,726,54010
11,DC,District of Columbia,53,WA,Washington,532,696,56376
11,DC,District of Columbia,39,OH,Ohio,382,542,45122
11,DC,District of Columbia,57,FR,Foreign,356,692,45360
11,DC,District of Columbia,26,MI,Michigan,343,427,34720
